2,Carolina Lakes Golf Club,23012 Kingfisher Dr,Fort Mill,SC,29707,34.9306348,-80.84319599999999
3,Fairway Golf Course,4940 Highway 227 N Lot 2,Owenton,KY,40359,38.5948096,-84.83557549999999
4,Heritage Golf Eagle Trace Llc,1111 Eagle Trace Blvd,Coral Springs,FL,33071,26.2479017,-80.2839649
5,Lineage Financial Management,5 Royal Saint George Rd,Newport Beach,CA,92660,33.6264543,-117.8657464
6,Fiddler's Creek Golf Course,3470 Club Center Blvd,Naples,FL,34114,26.0244165,-81.6815479
7,Meadowlands Golf Course,711 Boehms Church Rd,Blue Bell,PA,19422,40.1666856,-75.2624455
8,Silver Springs Golf Course,1392 County Road W42,Ossian,IA,52161,43.1412698,-91.76706639999999
9,Indian Creek Yacht & Cntry Clu,362 Club Dr,Kilmarnock,VA,22482,37.69863100000001,-76.3389074
10,Willow Springs Golf Course,Po Box 315,Haslet,TX,76052,32.9611111,-97.3488427
11,Bogey Hills Country Club,1120 Country Club Rd,Saint Charles,MO,63303,38.7849736,-90.53774969999999
12,Eagle Lake Lighted Golf Ctr,11000 Bass Lake Rd,Minneapolis,MN,55442,45.0605797,-93.41779040000002
13,Olde Course At Loveland,2115 W 29th St,Loveland,CO,80538,40.4236291,-105.1074782
14,Heron Bay Golf Club,5100 Heron Bay Blvd,Locust Grove,GA,30248,33.3378171,-84.1931504
15,Creeks Bend Golf Club,5900 Hixson Pike,Hixson,TN,37343,35.1518571,-85.2078281
16,Sugar Springs Property Owners,5477 Worthington Ct,Gladwin,MI,48624,44.1311222,-84.44534689999999
17,Wakonda Club,3915 Fleur Dr,Des Moines,IA,50321,41.5504927,-93.6416893
18,Idle Hour Country Club,251 Idle Hour Dr,Macon,GA,31210,32.8654358,-83.71071719999999
19,Wedgewood Crystal Springs,6650 Golf Course Dr,Burlingame,CA,94010,37.5578387,-122.3820359
20,Tekoa Country Club,459 Russell Rd,Westfield,MA,1085,42.13294760000001,-72.7813259
21,Marin Country Club,500 Country Club Dr,Novato,CA,94949,38.0643353,-122.5650072
22,Highland Golf Course,707 Highway 274,Camden,AR,71701,33.6167038,-92.739983
23,Code Enforcement,802 Avenue Y,Hondo,TX,78861,29.3542317,-99.155496
24,Greens At Valencia,26501 Mcbean Pkwy,Valencia,CA,91355,34.4148294,-118.5606689
25,Bear Trace At Tims Ford,891 Wiseman Bend Rd,Winchester,TN,37398,35.2087368,-86.26005210000001
26,Mansfield National Golf Club,3750 National Pkwy,Mansfield,TX,76063,32.5580323,-97.07814750000001
27,Grantwood Golf Course,38855 Aurora Rd,Solon,OH,44139,41.3688691,-81.4008814
28,Mill Creek Golf Course,128 Cedars Ave,Churchville,NY,14428,43.03745170000001,-77.8284256
29,Pine Meadow Golf Club,1 Pine Meadow Ln,Mundelein,IL,60060,42.2910868,-87.9842733
30,North Hampton Golf Club,22680 N Hampton Club Way,Fernandina Beach,FL,32034,30.6018112,-81.5564682
31,Heritage Harbor Tennis Club,19502 Heritage Harbor Pkwy,Lutz,FL,33558,28.1691992,-82.5114894
32,Trumansburg Public Golf Course,23 Halsey St,Trumansburg,NY,14886,42.53587,-76.66936799999999
33,Rainbow Golf Club,3822 County Route 26,Greenville,NY,12083,42.4181601,-74.0027072
34,Waukesha County Golf Course,W307n1897 Maple Ave,Pewaukee,WI,53072,43.0568412,-88.3610013
35,Traditional Golf Club At,1000 Virginia Center Pkwy,Glen Allen,VA,23059,37.6641106,-77.4439268
36,Waverley Country Golf Club,1100 Se Waverly Dr,Portland,OR,97222,45.4532572,-122.6529723
37,Springbrook Golf Club,141 Us Hwy 202,Leeds,ME,4263,44.2263542,-70.07471869999999
38,Fairbury Country Club,Po Box 245,Fairbury,NE,68352,40.167183,-97.1618369
39,Peoria Park District,2218 N Prospect Rd,Peoria,IL,61603,40.7146313,-89.5733216
40,Oakwood Country Club,1601 N Oakwood Rd,Enid,OK,73703,36.4130161,-97.9229639
41,Bonnie Brook Golf Course,2800 N Lewis Ave,Waukegan,IL,60087,42.403346,-87.8570044
42,High Bridge Hills Golf Club,Po Box 232,High Bridge,NJ,8829,40.6677194,-74.8947061
